id,domain_code,domain,name,definition,source_basis,registry_status,maturity,source_keys,notes
AXM-00-FOUNDATION-A-019-enumeration-value,00-foundation,Universal foundation and metadata,enumeration value,"Smallest independently addressable enumeration value unit in universal foundation and metadata, intended to be typed, referenced, transformed or validated without requiring a whole finished asset.",cross-standard,candidate,research-seed,SRC-JSONSCHEMA;SRC-RDF;SRC-PROV;SRC-SPDX,
AXM-00-FOUNDATION-A-020-null-value,00-foundation,Universal foundation and metadata,null value,"Smallest independently addressable null value unit in universal foundation and metadata, intended to be typed, referenced, transformed or validated without requiring a whole finished asset.",cross-standard,candidate,research-seed,SRC-JSONSCHEMA;SRC-RDF;SRC-PROV;SRC-SPDX,
AXM-00-FOUNDATION-A-021-unit,00-foundation,Universal foundation and metadata,unit,"Smallest independently addressable unit unit in universal foundation and metadata, intended to be typed, referenced, transformed or validated without requiring a whole finished asset.",cross-standard,candidate,research-seed,SRC-JSONSCHEMA;SRC-RDF;SRC-PROV;SRC-SPDX,
AXM-00-FOUNDATION-A-022-quantity,00-foundation,Universal foundation and metadata,quantity,"Smallest independently addressable quantity unit in universal foundation and metadata, intended to be typed, referenced, transformed or validated without requiring a whole finished asset.",cross-standard,candidate,research-seed,SRC-JSONSCHEMA;SRC-RDF;SRC-PROV;SRC-SPDX,
AXM-00-FOUNDATION-A-023-dimension,00-foundation,Universal foundation and metadata,dimension,"Smallest independently addressable dimension unit in universal foundation and metadata, intended to be typed, referenced, transformed or validated without requiring a whole finished asset.",cross-standard,candidate,research-seed,SRC-JSONSCHEMA;SRC-RDF;SRC-PROV;SRC-SPDX,
AXM-00-FOUNDATION-A-024-timestamp,00-foundation,Universal foundation and metadata,timestamp,"Smallest independently addressable timestamp unit in universal foundation and metadata, intended to be typed, referenced, transformed or validated without requiring a whole finished asset.",cross-standard,candidate,research-seed,SRC-JSONSCHEMA;SRC-RDF;SRC-PROV;SRC-SPDX,
AXM-00-FOUNDATION-A-025-duration,00-foundation,Universal foundation and metadata,duration,"Smallest independently addressable duration unit in universal foundation and metadata, intended to be typed, referenced, transformed or validated without requiring a whole finished asset.",cross-standard,candidate,research-seed,SRC-JSONSCHEMA;SRC-RDF;SRC-PROV;SRC-SPDX,
AXM-00-FOUNDATION-A-026-date,00-foundation,Universal foundation and metadata,date,"Smallest independently addressable date unit in universal foundation and metadata, intended to be typed, referenced, transformed or validated without requiring a whole finished asset.",cross-standard,candidate,research-seed,SRC-JSONSCHEMA;SRC-RDF;SRC-PROV;SRC-SPDX,
AXM-00-FOUNDATION-A-027-time-zone,00-foundation,Universal foundation and metadata,time zone,"Smallest independently addressable time zone unit in universal foundation and metadata, intended to be typed, referenced, transformed or validated without requiring a whole finished asset.",cross-standard,candidate,research-seed,SRC-JSONSCHEMA;SRC-RDF;SRC-PROV;SRC-SPDX,
AXM-00-FOUNDATION-A-028-locale,00-foundation,Universal foundation and metadata,locale,"Smallest independently addressable locale unit in universal foundation and metadata, intended to be typed, referenced, transformed or validated without requiring a whole finished asset.",cross-standard,candidate,research-seed,SRC-JSONSCHEMA;SRC-RDF;SRC-PROV;SRC-SPDX,
AXM-00-FOUNDATION-A-029-path,00-foundation,Universal foundation and metadata,path,"Smallest independently addressable path unit in universal foundation and metadata, intended to be typed, referenced, transformed or validated without requiring a whole finished asset.",cross-standard,candidate,research-seed,SRC-JSONSCHEMA;SRC-RDF;SRC-PROV;SRC-SPDX,
AXM-00-FOUNDATION-A-030-uri,00-foundation,Universal foundation and metadata,URI,"Smallest independently addressable URI unit in universal foundation and metadata, intended to be typed, referenced, transformed or validated without requiring a whole finished asset.",cross-standard,candidate,research-seed,SRC-JSONSCHEMA;SRC-RDF;SRC-PROV;SRC-SPDX,
AXM-00-FOUNDATION-A-031-hash-digest,00-foundation,Universal foundation and metadata,hash digest,"Smallest independently addressable hash digest unit in universal foundation and metadata, intended to be typed, referenced, transformed or validated without requiring a whole finished asset.",cross-standard,candidate,research-seed,SRC-JSONSCHEMA;SRC-RDF;SRC-PROV;SRC-SPDX,
AXM-00-FOUNDATION-A-032-checksum,00-foundation,Universal foundation and metadata,checksum,"Smallest independently addressable checksum unit in universal foundation and metadata, intended to be typed, referenced, transformed or validated without requiring a whole finished asset.",cross-standard,candidate,research-seed,SRC-JSONSCHEMA;SRC-RDF;SRC-PROV;SRC-SPDX,
AXM-00-FOUNDATION-A-033-digital-signature,00-foundation,Universal foundation and metadata,digital signature,"Smallest independently addressable digital signature unit in universal foundation and metadata, intended to be typed, referenced, transformed or validated without requiring a whole finished asset.",cross-standard,candidate,research-seed,SRC-JSONSCHEMA;SRC-RDF;SRC-PROV;SRC-SPDX,
AXM-00-FOUNDATION-A-034-deterministic-seed,00-foundation,Universal foundation and metadata,deterministic seed,"Smallest independently addressable deterministic seed unit in universal foundation and metadata, intended to be typed, referenced, transformed or validated without requiring a whole finished asset.",cross-standard,candidate,research-seed,SRC-JSONSCHEMA;SRC-RDF;SRC-PROV;SRC-SPDX,
AXM-00-FOUNDATION-A-035-random-stream-position,00-foundation,Universal foundation and metadata,random stream position,"Smallest independently addressable random stream position unit in universal foundation and metadata, intended to be typed, referenced, transformed or validated without requiring a whole finished asset.",cross-standard,candidate,research-seed,SRC-JSONSCHEMA;SRC-RDF;SRC-PROV;SRC-SPDX,
AXM-00-FOUNDATION-A-036-parameter,00-foundation,Universal foundation and metadata,parameter,"Smallest independently addressable parameter unit in universal foundation and metadata, intended to be typed, referenced, transformed or validated without requiring a whole finished asset.",cross-standard,candidate,research-seed,SRC-JSONSCHEMA;SRC-RDF;SRC-PROV;SRC-SPDX,
AXM-00-FOUNDATION-A-037-default-value,00-foundation,Universal foundation and metadata,default value,"Smallest independently addressable default value unit in universal foundation and metadata, intended to be typed, referenced, transformed or validated without requiring a whole finished asset.",cross-standard,candidate,research-seed,SRC-JSONSCHEMA;SRC-RDF;SRC-PROV;SRC-SPDX,
AXM-00-FOUNDATION-A-038-constraint,00-foundation,Universal foundation and metadata,constraint,"Smallest independently addressable constraint unit in universal foundation and metadata, intended to be typed, referenced, transformed or validated without requiring a whole finished asset.",cross-standard,candidate,research-seed,SRC-JSONSCHEMA;SRC-RDF;SRC-PROV;SRC-SPDX,
AXM-00-FOUNDATION-A-039-capability-tag,00-foundation,Universal foundation and metadata,capability tag,"Smallest independently addressable capability tag unit in universal foundation and metadata, intended to be typed, referenced, transformed or validated without requiring a whole finished asset.",cross-standard,candidate,research-seed,SRC-JSONSCHEMA;SRC-RDF;SRC-PROV;SRC-SPDX,
AXM-00-FOUNDATION-A-040-feature-flag,00-foundation,Universal foundation and metadata,feature flag,"Smallest independently addressable feature flag unit in universal foundation and metadata, intended to be typed, referenced, transformed or validated without requiring a whole finished asset.",cross-standard,candidate,research-seed,SRC-JSONSCHEMA;SRC-RDF;SRC-PROV;SRC-SPDX,
AXM-00-FOUNDATION-A-041-confidence-value,00-foundation,Universal foundation and metadata,confidence value,"Smallest independently addressable confidence value unit in universal foundation and metadata, intended to be typed, referenced, transformed or validated without requiring a whole finished asset.",cross-standard,candidate,research-seed,SRC-JSONSCHEMA;SRC-RDF;SRC-PROV;SRC-SPDX,
AXM-00-FOUNDATION-A-042-priority,00-foundation,Universal foundation and metadata,priority,"Smallest independently addressable priority unit in universal foundation and metadata, intended to be typed, referenced, transformed or validated without requiring a whole finished asset.",cross-standard,candidate,research-seed,SRC-JSONSCHEMA;SRC-RDF;SRC-PROV;SRC-SPDX,
AXM-00-FOUNDATION-A-043-ownership-reference,00-foundation,Universal foundation and metadata,ownership reference,"Smallest independently addressable ownership reference unit in universal foundation and metadata, intended to be typed, referenced, transformed or validated without requiring a whole finished asset.",cross-standard,candidate,research-seed,SRC-JSONSCHEMA;SRC-RDF;SRC-PROV;SRC-SPDX,
AXM-00-FOUNDATION-A-044-source-reference,00-foundation,Universal foundation and metadata,source reference,"Smallest independently addressable source reference unit in universal foundation and metadata, intended to be typed, referenced, transformed or validated without requiring a whole finished asset.",cross-standard,candidate,research-seed,SRC-JSONSCHEMA;SRC-RDF;SRC-PROV;SRC-SPDX,
AXM-00-FOUNDATION-A-045-input-port,00-foundation,Universal foundation and metadata,input port,"Smallest independently addressable input port unit in universal foundation and metadata, intended to be typed, referenced, transformed or validated without requiring a whole finished asset.",cross-standard,candidate,research-seed,SRC-JSONSCHEMA;SRC-RDF;SRC-PROV;SRC-SPDX,
AXM-00-FOUNDATION-A-046-output-port,00-foundation,Universal foundation and metadata,output port,"Smallest independently addressable output port unit in universal foundation and metadata, intended to be typed, referenced, transformed or validated without requiring a whole finished asset.",cross-standard,candidate,research-seed,SRC-JSONSCHEMA;SRC-RDF;SRC-PROV;SRC-SPDX,
AXM-00-FOUNDATION-A-047-parameter-port,00-foundation,Universal foundation and metadata,parameter port,"Smallest independently addressable parameter port unit in universal foundation and metadata, intended to be typed, referenced, transformed or validated without requiring a whole finished asset.",cross-standard,candidate,research-seed,SRC-JSONSCHEMA;SRC-RDF;SRC-PROV;SRC-SPDX,
AXM-00-FOUNDATION-A-048-relation-predicate,00-foundation,Universal foundation and metadata,relation predicate,"Smallest independently addressable relation predicate unit in universal foundation and metadata, intended to be typed, referenced, transformed or validated without requiring a whole finished asset.",cross-standard,candidate,research-seed,SRC-JSONSCHEMA;SRC-RDF;SRC-PROV;SRC-SPDX,
AXM-00-FOUNDATION-A-049-contains-relation,00-foundation,Universal foundation and metadata,contains relation,"Smallest independently addressable contains relation unit in universal foundation and metadata, intended to be typed, referenced, transformed or validated without requiring a whole finished asset.",cross-standard,candidate,research-seed,SRC-JSONSCHEMA;SRC-RDF;SRC-PROV;SRC-SPDX,
AXM-00-FOUNDATION-A-050-part-of-relation,00-foundation,Universal foundation and metadata,part-of relation,"Smallest independently addressable part-of relation unit in universal foundation and metadata, intended to be typed, referenced, transformed or validated without requiring a whole finished asset.",cross-standard,candidate,research-seed,SRC-JSONSCHEMA;SRC-RDF;SRC-PROV;SRC-SPDX,
AXM-00-FOUNDATION-A-051-requires-relation,00-foundation,Universal foundation and metadata,requires relation,"Smallest independently addressable requires relation unit in universal foundation and metadata, intended to be typed, referenced, transformed or validated without requiring a whole finished asset.",cross-standard,candidate,research-seed,SRC-JSONSCHEMA;SRC-RDF;SRC-PROV;SRC-SPDX,
AXM-00-FOUNDATION-A-052-produces-relation,00-foundation,Universal foundation and metadata,produces relation,"Smallest independently addressable produces relation unit in universal foundation and metadata, intended to be typed, referenced, transformed or validated without requiring a whole finished asset.",cross-standard,candidate,research-seed,SRC-JSONSCHEMA;SRC-RDF;SRC-PROV;SRC-SPDX,
AXM-00-FOUNDATION-A-053-consumes-relation,00-foundation,Universal foundation and metadata,consumes relation,"Smallest independently addressable consumes relation unit in universal foundation and metadata, intended to be typed, referenced, transformed or validated without requiring a whole finished asset.",cross-standard,candidate,research-seed,SRC-JSONSCHEMA;SRC-RDF;SRC-PROV;SRC-SPDX,
AXM-00-FOUNDATION-A-054-transforms-relation,00-foundation,Universal foundation and metadata,transforms relation,"Smallest independently addressable transforms relation unit in universal foundation and metadata, intended to be typed, referenced, transformed or validated without requiring a whole finished asset.",cross-standard,candidate,research-seed,SRC-JSONSCHEMA;SRC-RDF;SRC-PROV;SRC-SPDX,
AXM-00-FOUNDATION-A-055-binds-to-relation,00-foundation,Universal foundation and metadata,binds-to relation,"Smallest independently addressable binds-to relation unit in universal foundation and metadata, intended to be typed, referenced, transformed or validated without requiring a whole finished asset.",cross-standard,candidate,research-seed,SRC-JSONSCHEMA;SRC-RDF;SRC-PROV;SRC-SPDX,
AXM-00-FOUNDATION-A-056-drives-relation,00-foundation,Universal foundation and metadata,drives relation,"Smallest independently addressable drives relation unit in universal foundation and metadata, intended to be typed, referenced, transformed or validated without requiring a whole finished asset.",cross-standard,candidate,research-seed,SRC-JSONSCHEMA;SRC-RDF;SRC-PROV;SRC-SPDX,
AXM-00-FOUNDATION-A-057-references-relation,00-foundation,Universal foundation and metadata,references relation,"Smallest independently addressable references relation unit in universal foundation and metadata, intended to be typed, referenced, transformed or validated without requiring a whole finished asset.",cross-standard,candidate,research-seed,SRC-JSONSCHEMA;SRC-RDF;SRC-PROV;SRC-SPDX,
AXM-00-FOUNDATION-A-058-instantiates-relation,00-foundation,Universal foundation and metadata,instantiates relation,"Smallest independently addressable instantiates relation unit in universal foundation and metadata, intended to be typed, referenced, transformed or validated without requiring a whole finished asset.",cross-standard,candidate,research-seed,SRC-JSONSCHEMA;SRC-RDF;SRC-PROV;SRC-SPDX,
AXM-00-FOUNDATION-A-059-inherits-relation,00-foundation,Universal foundation and metadata,inherits relation,"Smallest independently addressable inherits relation unit in universal foundation and metadata, intended to be typed, referenced, transformed or validated without requiring a whole finished asset.",cross-standard,candidate,research-seed,SRC-JSONSCHEMA;SRC-RDF;SRC-PROV;SRC-SPDX,
AXM-00-FOUNDATION-A-060-variant-of-relation,00-foundation,Universal foundation and metadata,variant-of relation,"Smallest independently addressable variant-of relation unit in universal foundation and metadata, intended to be typed, referenced, transformed or validated without requiring a whole finished asset.",cross-standard,candidate,research-seed,SRC-JSONSCHEMA;SRC-RDF;SRC-PROV;SRC-SPDX,
AXM-00-FOUNDATION-A-061-compiles-to-relation,00-foundation,Universal foundation and metadata,compiles-to relation,"Smallest independently addressable compiles-to relation unit in universal foundation and metadata, intended to be typed, referenced, transformed or validated without requiring a whole finished asset.",cross-standard,candidate,research-seed,SRC-JSONSCHEMA;SRC-RDF;SRC-PROV;SRC-SPDX,
AXM-00-FOUNDATION-A-062-derived-from-relation,00-foundation,Universal foundation and metadata,derived-from relation,"Smallest independently addressable derived-from relation unit in universal foundation and metadata, intended to be typed, referenced, transformed or validated without requiring a whole finished asset.",cross-standard,candidate,research-seed,SRC-JSONSCHEMA;SRC-RDF;SRC-PROV;SRC-SPDX,
AXM-00-FOUNDATION-A-063-validates-relation,00-foundation,Universal foundation and metadata,validates relation,"Smallest independently addressable validates relation unit in universal foundation and metadata, intended to be typed, referenced, transformed or validated without requiring a whole finished asset.",cross-standard,candidate,research-seed,SRC-JSONSCHEMA;SRC-RDF;SRC-PROV;SRC-SPDX,
AXM-00-FOUNDATION-A-064-tested-by-relation,00-foundation,Universal foundation and metadata,tested-by relation,"Smallest independently addressable tested-by relation unit in universal foundation and metadata, intended to be typed, referenced, transformed or validated without requiring a whole finished asset.",cross-standard,candidate,research-seed,SRC-JSONSCHEMA;SRC-RDF;SRC-PROV;SRC-SPDX,
AXM-00-FOUNDATION-A-065-generated-by-relation,00-foundation,Universal foundation and metadata,generated-by relation,"Smallest independently addressable generated-by relation unit in universal foundation and metadata, intended to be typed, referenced, transformed or validated without requiring a whole finished asset.",cross-standard,candidate,research-seed,SRC-JSONSCHEMA;SRC-RDF;SRC-PROV;SRC-SPDX,
AXM-00-FOUNDATION-A-066-supersedes-relation,00-foundation,Universal foundation and metadata,supersedes relation,"Smallest independently addressable supersedes relation unit in universal foundation and metadata, intended to be typed, referenced, transformed or validated without requiring a whole finished asset.",cross-standard,candidate,research-seed,SRC-JSONSCHEMA;SRC-RDF;SRC-PROV;SRC-SPDX,
AXM-00-FOUNDATION-A-067-conflicts-with-relation,00-foundation,Universal foundation and metadata,conflicts-with relation,"Smallest independently addressable conflicts-with relation unit in universal foundation and metadata, intended to be typed, referenced, transformed or validated without requiring a whole finished asset.",cross-standard,candidate,research-seed,SRC-JSONSCHEMA;SRC-RDF;SRC-PROV;SRC-SPDX,
AXM-00-FOUNDATION-A-068-equivalent-to-relation,00-foundation,Universal foundation and metadata,equivalent-to relation,"Smallest independently addressable equivalent-to relation unit in universal foundation and metadata, intended to be typed, referenced, transformed or validated without requiring a whole finished asset.",cross-standard,candidate,research-seed,SRC-JSONSCHEMA;SRC-RDF;SRC-PROV;SRC-SPDX,
AXM-00-FOUNDATION-A-069-interoperates-with-relation,00-foundation,Universal foundation and metadata,interoperates-with relation,"Smallest independently addressable interoperates-with relation unit in universal foundation and metadata, intended to be typed, referenced, transformed or validated without requiring a whole finished asset.",cross-standard,candidate,research-seed,SRC-JSONSCHEMA;SRC-RDF;SRC-PROV;SRC-SPDX,
AXM-00-FOUNDATION-A-070-licensed-under-relation,00-foundation,Universal foundation and metadata,licensed-under relation,"Smallest independently addressable licensed-under relation unit in universal foundation and metadata, intended to be typed, referenced, transformed or validated without requiring a whole finished asset.",cross-standard,candidate,research-seed,SRC-JSONSCHEMA;SRC-RDF;SRC-PROV;SRC-SPDX,
AXM-00-FOUNDATION-A-071-observed-in-use-relation,00-foundation,Universal foundation and metadata,observed-in-use relation,"Smallest independently addressable observed-in-use relation unit in universal foundation and metadata, intended to be typed, referenced, transformed or validated without requiring a whole finished asset.",cross-standard,candidate,research-seed,SRC-JSONSCHEMA;SRC-RDF;SRC-PROV;SRC-SPDX,
AXM-00-FOUNDATION-A-072-failed-in-use-relation,00-foundation,Universal foundation and metadata,failed-in-use relation,"Smallest independently addressable failed-in-use relation unit in universal foundation and metadata, intended to be typed, referenced, transformed or validated without requiring a whole finished asset.",cross-standard,candidate,research-seed,SRC-JSONSCHEMA;SRC-RDF;SRC-PROV;SRC-SPDX,
AXM-01-PROVENANCE-A-001-entity-reference,01-provenance,Provenance rights consent and evidence,entity reference,"Smallest independently addressable entity reference unit in provenance rights consent and evidence, intended to be typed, referenced, transformed or validated without requiring a whole finished asset.",cross-standard,candidate,research-seed,SRC-PROV;SRC-SPDX;SRC-SLSA;SRC-CYCLONEDX,
AXM-01-PROVENANCE-A-002-activity-reference,01-provenance,Provenance rights consent and evidence,activity reference,"Smallest independently addressable activity reference unit in provenance rights consent and evidence, intended to be typed, referenced, transformed or validated without requiring a whole finished asset.",cross-standard,candidate,research-seed,SRC-PROV;SRC-SPDX;SRC-SLSA;SRC-CYCLONEDX,
AXM-01-PROVENANCE-A-003-agent-reference,01-provenance,Provenance rights consent and evidence,agent reference,"Smallest independently addressable agent reference unit in provenance rights consent and evidence, intended to be typed, referenced, transformed or validated without requiring a whole finished asset.",cross-standard,candidate,research-seed,SRC-PROV;SRC-SPDX;SRC-SLSA;SRC-CYCLONEDX,
AXM-01-PROVENANCE-A-004-generation-assertion,01-provenance,Provenance rights consent and evidence,generation assertion,"Smallest independently addressable generation assertion unit in provenance rights consent and evidence, intended to be typed, referenced, transformed or validated without requiring a whole finished asset.",cross-standard,candidate,research-seed,SRC-PROV;SRC-SPDX;SRC-SLSA;SRC-CYCLONEDX,
AXM-01-PROVENANCE-A-005-usage-assertion,01-provenance,Provenance rights consent and evidence,usage assertion,"Smallest independently addressable usage assertion unit in provenance rights consent and evidence, intended to be typed, referenced, transformed or validated without requiring a whole finished asset.",cross-standard,candidate,research-seed,SRC-PROV;SRC-SPDX;SRC-SLSA;SRC-CYCLONEDX,
AXM-01-PROVENANCE-A-006-derivation-assertion,01-provenance,Provenance rights consent and evidence,derivation assertion,"Smallest independently addressable derivation assertion unit in provenance rights consent and evidence, intended to be typed, referenced, transformed or validated without requiring a whole finished asset.",cross-standard,candidate,research-seed,SRC-PROV;SRC-SPDX;SRC-SLSA;SRC-CYCLONEDX,
AXM-01-PROVENANCE-A-007-attribution,01-provenance,Provenance rights consent and evidence,attribution,"Smallest independently addressable attribution unit in provenance rights consent and evidence, intended to be typed, referenced, transformed or validated without requiring a whole finished asset.",cross-standard,candidate,research-seed,SRC-PROV;SRC-SPDX;SRC-SLSA;SRC-CYCLONEDX,
AXM-01-PROVENANCE-A-008-association,01-provenance,Provenance rights consent and evidence,association,"Smallest independently addressable association unit in provenance rights consent and evidence, intended to be typed, referenced, transformed or validated without requiring a whole finished asset.",cross-standard,candidate,research-seed,SRC-PROV;SRC-SPDX;SRC-SLSA;SRC-CYCLONEDX,
AXM-01-PROVENANCE-A-009-delegation,01-provenance,Provenance rights consent and evidence,delegation,"Smallest independently addressable delegation unit in provenance rights consent and evidence, intended to be typed, referenced, transformed or validated without requiring a whole finished asset.",cross-standard,candidate,research-seed,SRC-PROV;SRC-SPDX;SRC-SLSA;SRC-CYCLONEDX,
AXM-01-PROVENANCE-A-010-source-citation,01-provenance,Provenance rights consent and evidence,source citation,"Smallest independently addressable source citation unit in provenance rights consent and evidence, intended to be typed, referenced, transformed or validated without requiring a whole finished asset.",cross-standard,candidate,research-seed,SRC-PROV;SRC-SPDX;SRC-SLSA;SRC-CYCLONEDX,
AXM-01-PROVENANCE-A-011-evidence-item,01-provenance,Provenance rights consent and evidence,evidence item,"Smallest independently addressable evidence item unit in provenance rights consent and evidence, intended to be typed, referenced, transformed or validated without requiring a whole finished asset.",cross-standard,candidate,research-seed,SRC-PROV;SRC-SPDX;SRC-SLSA;SRC-CYCLONEDX,
AXM-01-PROVENANCE-A-012-observation,01-provenance,Provenance rights consent and evidence,observation,"Smallest independently addressable observation unit in provenance rights consent and evidence, intended to be typed, referenced, transformed or validated without requiring a whole finished asset.",cross-standard,candidate,research-seed,SRC-PROV;SRC-SPDX;SRC-SLSA;SRC-CYCLONEDX,
AXM-01-PROVENANCE-A-013-claim,01-provenance,Provenance rights consent and evidence,claim,"Smallest independently addressable claim unit in provenance rights consent and evidence, intended to be typed, referenced, transformed or validated without requiring a whole finished asset.",cross-standard,candidate,research-seed,SRC-PROV;SRC-SPDX;SRC-SLSA;SRC-CYCLONEDX,
AXM-01-PROVENANCE-A-014-test-result-reference,01-provenance,Provenance rights consent and evidence,test result reference,"Smallest independently addressable test result reference unit in provenance rights consent and evidence, intended to be typed, referenced, transformed or validated without requiring a whole finished asset.",cross-standard,candidate,research-seed,SRC-PROV;SRC-SPDX;SRC-SLSA;SRC-CYCLONEDX,
AXM-01-PROVENANCE-A-015-usage-event-reference,01-provenance,Provenance rights consent and evidence,usage event reference,"Smallest independently addressable usage event reference unit in provenance rights consent and evidence, intended to be typed, referenced, transformed or validated without requiring a whole finished asset.",cross-standard,candidate,research-seed,SRC-PROV;SRC-SPDX;SRC-SLSA;SRC-CYCLONEDX,
AXM-01-PROVENANCE-A-016-license-expression,01-provenance,Provenance rights consent and evidence,license expression,"Smallest independently addressable license expression unit in provenance rights consent and evidence, intended to be typed, referenced, transformed or validated without requiring a whole finished asset.",cross-standard,candidate,research-seed,SRC-PROV;SRC-SPDX;SRC-SLSA;SRC-CYCLONEDX,
