id,level,domain_code,domain,name,definition,source_keys,source_basis,registry_status,maturity,extension_allowed,notes
AXM-00-FOUNDATION-A-011-flag,atom,00-foundation,Universal foundation and metadata,flag,"Smallest independently addressable flag unit in universal foundation and metadata, intended to be typed, referenced, transformed or validated without requiring a whole finished asset.",SRC-JSONSCHEMA;SRC-RDF;SRC-PROV;SRC-SPDX,cross-standard,candidate,research-seed,True,
AXM-00-FOUNDATION-A-012-scalar,atom,00-foundation,Universal foundation and metadata,scalar,"Smallest independently addressable scalar unit in universal foundation and metadata, intended to be typed, referenced, transformed or validated without requiring a whole finished asset.",SRC-JSONSCHEMA;SRC-RDF;SRC-PROV;SRC-SPDX,cross-standard,candidate,research-seed,True,
AXM-00-FOUNDATION-A-013-boolean,atom,00-foundation,Universal foundation and metadata,boolean,"Smallest independently addressable boolean unit in universal foundation and metadata, intended to be typed, referenced, transformed or validated without requiring a whole finished asset.",SRC-JSONSCHEMA;SRC-RDF;SRC-PROV;SRC-SPDX,cross-standard,candidate,research-seed,True,
AXM-00-FOUNDATION-A-014-integer,atom,00-foundation,Universal foundation and metadata,integer,"Smallest independently addressable integer unit in universal foundation and metadata, intended to be typed, referenced, transformed or validated without requiring a whole finished asset.",SRC-JSONSCHEMA;SRC-RDF;SRC-PROV;SRC-SPDX,cross-standard,candidate,research-seed,True,
AXM-00-FOUNDATION-A-015-floating-point-number,atom,00-foundation,Universal foundation and metadata,floating-point number,"Smallest independently addressable floating-point number unit in universal foundation and metadata, intended to be typed, referenced, transformed or validated without requiring a whole finished asset.",SRC-JSONSCHEMA;SRC-RDF;SRC-PROV;SRC-SPDX,cross-standard,candidate,research-seed,True,
AXM-00-FOUNDATION-A-016-decimal-number,atom,00-foundation,Universal foundation and metadata,decimal number,"Smallest independently addressable decimal number unit in universal foundation and metadata, intended to be typed, referenced, transformed or validated without requiring a whole finished asset.",SRC-JSONSCHEMA;SRC-RDF;SRC-PROV;SRC-SPDX,cross-standard,candidate,research-seed,True,
AXM-00-FOUNDATION-A-017-string,atom,00-foundation,Universal foundation and metadata,string,"Smallest independently addressable string unit in universal foundation and metadata, intended to be typed, referenced, transformed or validated without requiring a whole finished asset.",SRC-JSONSCHEMA;SRC-RDF;SRC-PROV;SRC-SPDX,cross-standard,candidate,research-seed,True,
AXM-00-FOUNDATION-A-018-byte-sequence,atom,00-foundation,Universal foundation and metadata,byte sequence,"Smallest independently addressable byte sequence unit in universal foundation and metadata, intended to be typed, referenced, transformed or validated without requiring a whole finished asset.",SRC-JSONSCHEMA;SRC-RDF;SRC-PROV;SRC-SPDX,cross-standard,candidate,research-seed,True,
AXM-00-FOUNDATION-A-019-enumeration-value,atom,00-foundation,Universal foundation and metadata,enumeration value,"Smallest independently addressable enumeration value unit in universal foundation and metadata, intended to be typed, referenced, transformed or validated without requiring a whole finished asset.",SRC-JSONSCHEMA;SRC-RDF;SRC-PROV;SRC-SPDX,cross-standard,candidate,research-seed,True,
AXM-00-FOUNDATION-A-020-null-value,atom,00-foundation,Universal foundation and metadata,null value,"Smallest independently addressable null value unit in universal foundation and metadata, intended to be typed, referenced, transformed or validated without requiring a whole finished asset.",SRC-JSONSCHEMA;SRC-RDF;SRC-PROV;SRC-SPDX,cross-standard,candidate,research-seed,True,
AXM-00-FOUNDATION-A-021-unit,atom,00-foundation,Universal foundation and metadata,unit,"Smallest independently addressable unit unit in universal foundation and metadata, intended to be typed, referenced, transformed or validated without requiring a whole finished asset.",SRC-JSONSCHEMA;SRC-RDF;SRC-PROV;SRC-SPDX,cross-standard,candidate,research-seed,True,
AXM-00-FOUNDATION-A-022-quantity,atom,00-foundation,Universal foundation and metadata,quantity,"Smallest independently addressable quantity unit in universal foundation and metadata, intended to be typed, referenced, transformed or validated without requiring a whole finished asset.",SRC-JSONSCHEMA;SRC-RDF;SRC-PROV;SRC-SPDX,cross-standard,candidate,research-seed,True,
AXM-00-FOUNDATION-A-023-dimension,atom,00-foundation,Universal foundation and metadata,dimension,"Smallest independently addressable dimension unit in universal foundation and metadata, intended to be typed, referenced, transformed or validated without requiring a whole finished asset.",SRC-JSONSCHEMA;SRC-RDF;SRC-PROV;SRC-SPDX,cross-standard,candidate,research-seed,True,
AXM-00-FOUNDATION-A-024-timestamp,atom,00-foundation,Universal foundation and metadata,timestamp,"Smallest independently addressable timestamp unit in universal foundation and metadata, intended to be typed, referenced, transformed or validated without requiring a whole finished asset.",SRC-JSONSCHEMA;SRC-RDF;SRC-PROV;SRC-SPDX,cross-standard,candidate,research-seed,True,
AXM-00-FOUNDATION-A-025-duration,atom,00-foundation,Universal foundation and metadata,duration,"Smallest independently addressable duration unit in universal foundation and metadata, intended to be typed, referenced, transformed or validated without requiring a whole finished asset.",SRC-JSONSCHEMA;SRC-RDF;SRC-PROV;SRC-SPDX,cross-standard,candidate,research-seed,True,
AXM-00-FOUNDATION-A-026-date,atom,00-foundation,Universal foundation and metadata,date,"Smallest independently addressable date unit in universal foundation and metadata, intended to be typed, referenced, transformed or validated without requiring a whole finished asset.",SRC-JSONSCHEMA;SRC-RDF;SRC-PROV;SRC-SPDX,cross-standard,candidate,research-seed,True,
AXM-00-FOUNDATION-A-027-time-zone,atom,00-foundation,Universal foundation and metadata,time zone,"Smallest independently addressable time zone unit in universal foundation and metadata, intended to be typed, referenced, transformed or validated without requiring a whole finished asset.",SRC-JSONSCHEMA;SRC-RDF;SRC-PROV;SRC-SPDX,cross-standard,candidate,research-seed,True,
AXM-00-FOUNDATION-A-028-locale,atom,00-foundation,Universal foundation and metadata,locale,"Smallest independently addressable locale unit in universal foundation and metadata, intended to be typed, referenced, transformed or validated without requiring a whole finished asset.",SRC-JSONSCHEMA;SRC-RDF;SRC-PROV;SRC-SPDX,cross-standard,candidate,research-seed,True,
AXM-00-FOUNDATION-A-029-path,atom,00-foundation,Universal foundation and metadata,path,"Smallest independently addressable path unit in universal foundation and metadata, intended to be typed, referenced, transformed or validated without requiring a whole finished asset.",SRC-JSONSCHEMA;SRC-RDF;SRC-PROV;SRC-SPDX,cross-standard,candidate,research-seed,True,
AXM-00-FOUNDATION-A-030-uri,atom,00-foundation,Universal foundation and metadata,URI,"Smallest independently addressable URI unit in universal foundation and metadata, intended to be typed, referenced, transformed or validated without requiring a whole finished asset.",SRC-JSONSCHEMA;SRC-RDF;SRC-PROV;SRC-SPDX,cross-standard,candidate,research-seed,True,
AXM-00-FOUNDATION-A-031-hash-digest,atom,00-foundation,Universal foundation and metadata,hash digest,"Smallest independently addressable hash digest unit in universal foundation and metadata, intended to be typed, referenced, transformed or validated without requiring a whole finished asset.",SRC-JSONSCHEMA;SRC-RDF;SRC-PROV;SRC-SPDX,cross-standard,candidate,research-seed,True,
AXM-00-FOUNDATION-A-032-checksum,atom,00-foundation,Universal foundation and metadata,checksum,"Smallest independently addressable checksum unit in universal foundation and metadata, intended to be typed, referenced, transformed or validated without requiring a whole finished asset.",SRC-JSONSCHEMA;SRC-RDF;SRC-PROV;SRC-SPDX,cross-standard,candidate,research-seed,True,
AXM-00-FOUNDATION-A-033-digital-signature,atom,00-foundation,Universal foundation and metadata,digital signature,"Smallest independently addressable digital signature unit in universal foundation and metadata, intended to be typed, referenced, transformed or validated without requiring a whole finished asset.",SRC-JSONSCHEMA;SRC-RDF;SRC-PROV;SRC-SPDX,cross-standard,candidate,research-seed,True,
AXM-00-FOUNDATION-A-034-deterministic-seed,atom,00-foundation,Universal foundation and metadata,deterministic seed,"Smallest independently addressable deterministic seed unit in universal foundation and metadata, intended to be typed, referenced, transformed or validated without requiring a whole finished asset.",SRC-JSONSCHEMA;SRC-RDF;SRC-PROV;SRC-SPDX,cross-standard,candidate,research-seed,True,
AXM-00-FOUNDATION-A-035-random-stream-position,atom,00-foundation,Universal foundation and metadata,random stream position,"Smallest independently addressable random stream position unit in universal foundation and metadata, intended to be typed, referenced, transformed or validated without requiring a whole finished asset.",SRC-JSONSCHEMA;SRC-RDF;SRC-PROV;SRC-SPDX,cross-standard,candidate,research-seed,True,
AXM-00-FOUNDATION-A-036-parameter,atom,00-foundation,Universal foundation and metadata,parameter,"Smallest independently addressable parameter unit in universal foundation and metadata, intended to be typed, referenced, transformed or validated without requiring a whole finished asset.",SRC-JSONSCHEMA;SRC-RDF;SRC-PROV;SRC-SPDX,cross-standard,candidate,research-seed,True,
AXM-00-FOUNDATION-A-037-default-value,atom,00-foundation,Universal foundation and metadata,default value,"Smallest independently addressable default value unit in universal foundation and metadata, intended to be typed, referenced, transformed or validated without requiring a whole finished asset.",SRC-JSONSCHEMA;SRC-RDF;SRC-PROV;SRC-SPDX,cross-standard,candidate,research-seed,True,
AXM-00-FOUNDATION-A-038-constraint,atom,00-foundation,Universal foundation and metadata,constraint,"Smallest independently addressable constraint unit in universal foundation and metadata, intended to be typed, referenced, transformed or validated without requiring a whole finished asset.",SRC-JSONSCHEMA;SRC-RDF;SRC-PROV;SRC-SPDX,cross-standard,candidate,research-seed,True,
AXM-00-FOUNDATION-A-039-capability-tag,atom,00-foundation,Universal foundation and metadata,capability tag,"Smallest independently addressable capability tag unit in universal foundation and metadata, intended to be typed, referenced, transformed or validated without requiring a whole finished asset.",SRC-JSONSCHEMA;SRC-RDF;SRC-PROV;SRC-SPDX,cross-standard,candidate,research-seed,True,
AXM-00-FOUNDATION-A-040-feature-flag,atom,00-foundation,Universal foundation and metadata,feature flag,"Smallest independently addressable feature flag unit in universal foundation and metadata, intended to be typed, referenced, transformed or validated without requiring a whole finished asset.",SRC-JSONSCHEMA;SRC-RDF;SRC-PROV;SRC-SPDX,cross-standard,candidate,research-seed,True,
AXM-00-FOUNDATION-A-041-confidence-value,atom,00-foundation,Universal foundation and metadata,confidence value,"Smallest independently addressable confidence value unit in universal foundation and metadata, intended to be typed, referenced, transformed or validated without requiring a whole finished asset.",SRC-JSONSCHEMA;SRC-RDF;SRC-PROV;SRC-SPDX,cross-standard,candidate,research-seed,True,
AXM-00-FOUNDATION-A-042-priority,atom,00-foundation,Universal foundation and metadata,priority,"Smallest independently addressable priority unit in universal foundation and metadata, intended to be typed, referenced, transformed or validated without requiring a whole finished asset.",SRC-JSONSCHEMA;SRC-RDF;SRC-PROV;SRC-SPDX,cross-standard,candidate,research-seed,True,
AXM-00-FOUNDATION-A-043-ownership-reference,atom,00-foundation,Universal foundation and metadata,ownership reference,"Smallest independently addressable ownership reference unit in universal foundation and metadata, intended to be typed, referenced, transformed or validated without requiring a whole finished asset.",SRC-JSONSCHEMA;SRC-RDF;SRC-PROV;SRC-SPDX,cross-standard,candidate,research-seed,True,
AXM-00-FOUNDATION-A-044-source-reference,atom,00-foundation,Universal foundation and metadata,source reference,"Smallest independently addressable source reference unit in universal foundation and metadata, intended to be typed, referenced, transformed or validated without requiring a whole finished asset.",SRC-JSONSCHEMA;SRC-RDF;SRC-PROV;SRC-SPDX,cross-standard,candidate,research-seed,True,
AXM-00-FOUNDATION-A-045-input-port,atom,00-foundation,Universal foundation and metadata,input port,"Smallest independently addressable input port unit in universal foundation and metadata, intended to be typed, referenced, transformed or validated without requiring a whole finished asset.",SRC-JSONSCHEMA;SRC-RDF;SRC-PROV;SRC-SPDX,cross-standard,candidate,research-seed,True,
AXM-00-FOUNDATION-A-046-output-port,atom,00-foundation,Universal foundation and metadata,output port,"Smallest independently addressable output port unit in universal foundation and metadata, intended to be typed, referenced, transformed or validated without requiring a whole finished asset.",SRC-JSONSCHEMA;SRC-RDF;SRC-PROV;SRC-SPDX,cross-standard,candidate,research-seed,True,
AXM-00-FOUNDATION-A-047-parameter-port,atom,00-foundation,Universal foundation and metadata,parameter port,"Smallest independently addressable parameter port unit in universal foundation and metadata, intended to be typed, referenced, transformed or validated without requiring a whole finished asset.",SRC-JSONSCHEMA;SRC-RDF;SRC-PROV;SRC-SPDX,cross-standard,candidate,research-seed,True,
AXM-00-FOUNDATION-A-048-relation-predicate,atom,00-foundation,Universal foundation and metadata,relation predicate,"Smallest independently addressable relation predicate unit in universal foundation and metadata, intended to be typed, referenced, transformed or validated without requiring a whole finished asset.",SRC-JSONSCHEMA;SRC-RDF;SRC-PROV;SRC-SPDX,cross-standard,candidate,research-seed,True,
AXM-00-FOUNDATION-A-049-contains-relation,atom,00-foundation,Universal foundation and metadata,contains relation,"Smallest independently addressable contains relation unit in universal foundation and metadata, intended to be typed, referenced, transformed or validated without requiring a whole finished asset.",SRC-JSONSCHEMA;SRC-RDF;SRC-PROV;SRC-SPDX,cross-standard,candidate,research-seed,True,
AXM-00-FOUNDATION-A-050-part-of-relation,atom,00-foundation,Universal foundation and metadata,part-of relation,"Smallest independently addressable part-of relation unit in universal foundation and metadata, intended to be typed, referenced, transformed or validated without requiring a whole finished asset.",SRC-JSONSCHEMA;SRC-RDF;SRC-PROV;SRC-SPDX,cross-standard,candidate,research-seed,True,
AXM-00-FOUNDATION-A-051-requires-relation,atom,00-foundation,Universal foundation and metadata,requires relation,"Smallest independently addressable requires relation unit in universal foundation and metadata, intended to be typed, referenced, transformed or validated without requiring a whole finished asset.",SRC-JSONSCHEMA;SRC-RDF;SRC-PROV;SRC-SPDX,cross-standard,candidate,research-seed,True,
AXM-00-FOUNDATION-A-052-produces-relation,atom,00-foundation,Universal foundation and metadata,produces relation,"Smallest independently addressable produces relation unit in universal foundation and metadata, intended to be typed, referenced, transformed or validated without requiring a whole finished asset.",SRC-JSONSCHEMA;SRC-RDF;SRC-PROV;SRC-SPDX,cross-standard,candidate,research-seed,True,
AXM-00-FOUNDATION-A-053-consumes-relation,atom,00-foundation,Universal foundation and metadata,consumes relation,"Smallest independently addressable consumes relation unit in universal foundation and metadata, intended to be typed, referenced, transformed or validated without requiring a whole finished asset.",SRC-JSONSCHEMA;SRC-RDF;SRC-PROV;SRC-SPDX,cross-standard,candidate,research-seed,True,
AXM-00-FOUNDATION-A-054-transforms-relation,atom,00-foundation,Universal foundation and metadata,transforms relation,"Smallest independently addressable transforms relation unit in universal foundation and metadata, intended to be typed, referenced, transformed or validated without requiring a whole finished asset.",SRC-JSONSCHEMA;SRC-RDF;SRC-PROV;SRC-SPDX,cross-standard,candidate,research-seed,True,
AXM-00-FOUNDATION-A-055-binds-to-relation,atom,00-foundation,Universal foundation and metadata,binds-to relation,"Smallest independently addressable binds-to relation unit in universal foundation and metadata, intended to be typed, referenced, transformed or validated without requiring a whole finished asset.",SRC-JSONSCHEMA;SRC-RDF;SRC-PROV;SRC-SPDX,cross-standard,candidate,research-seed,True,
AXM-00-FOUNDATION-A-056-drives-relation,atom,00-foundation,Universal foundation and metadata,drives relation,"Smallest independently addressable drives relation unit in universal foundation and metadata, intended to be typed, referenced, transformed or validated without requiring a whole finished asset.",SRC-JSONSCHEMA;SRC-RDF;SRC-PROV;SRC-SPDX,cross-standard,candidate,research-seed,True,
AXM-00-FOUNDATION-A-057-references-relation,atom,00-foundation,Universal foundation and metadata,references relation,"Smallest independently addressable references relation unit in universal foundation and metadata, intended to be typed, referenced, transformed or validated without requiring a whole finished asset.",SRC-JSONSCHEMA;SRC-RDF;SRC-PROV;SRC-SPDX,cross-standard,candidate,research-seed,True,
AXM-00-FOUNDATION-A-058-instantiates-relation,atom,00-foundation,Universal foundation and metadata,instantiates relation,"Smallest independently addressable instantiates relation unit in universal foundation and metadata, intended to be typed, referenced, transformed or validated without requiring a whole finished asset.",SRC-JSONSCHEMA;SRC-RDF;SRC-PROV;SRC-SPDX,cross-standard,candidate,research-seed,True,
AXM-00-FOUNDATION-A-059-inherits-relation,atom,00-foundation,Universal foundation and metadata,inherits relation,"Smallest independently addressable inherits relation unit in universal foundation and metadata, intended to be typed, referenced, transformed or validated without requiring a whole finished asset.",SRC-JSONSCHEMA;SRC-RDF;SRC-PROV;SRC-SPDX,cross-standard,candidate,research-seed,True,
AXM-00-FOUNDATION-A-060-variant-of-relation,atom,00-foundation,Universal foundation and metadata,variant-of relation,"Smallest independently addressable variant-of relation unit in universal foundation and metadata, intended to be typed, referenced, transformed or validated without requiring a whole finished asset.",SRC-JSONSCHEMA;SRC-RDF;SRC-PROV;SRC-SPDX,cross-standard,candidate,research-seed,True,
AXM-00-FOUNDATION-A-061-compiles-to-relation,atom,00-foundation,Universal foundation and metadata,compiles-to relation,"Smallest independently addressable compiles-to relation unit in universal foundation and metadata, intended to be typed, referenced, transformed or validated without requiring a whole finished asset.",SRC-JSONSCHEMA;SRC-RDF;SRC-PROV;SRC-SPDX,cross-standard,candidate,research-seed,True,
AXM-00-FOUNDATION-A-062-derived-from-relation,atom,00-foundation,Universal foundation and metadata,derived-from relation,"Smallest independently addressable derived-from relation unit in universal foundation and metadata, intended to be typed, referenced, transformed or validated without requiring a whole finished asset.",SRC-JSONSCHEMA;SRC-RDF;SRC-PROV;SRC-SPDX,cross-standard,candidate,research-seed,True,
AXM-00-FOUNDATION-A-063-validates-relation,atom,00-foundation,Universal foundation and metadata,validates relation,"Smallest independently addressable validates relation unit in universal foundation and metadata, intended to be typed, referenced, transformed or validated without requiring a whole finished asset.",SRC-JSONSCHEMA;SRC-RDF;SRC-PROV;SRC-SPDX,cross-standard,candidate,research-seed,True,
AXM-00-FOUNDATION-A-064-tested-by-relation,atom,00-foundation,Universal foundation and metadata,tested-by relation,"Smallest independently addressable tested-by relation unit in universal foundation and metadata, intended to be typed, referenced, transformed or validated without requiring a whole finished asset.",SRC-JSONSCHEMA;SRC-RDF;SRC-PROV;SRC-SPDX,cross-standard,candidate,research-seed,True,
AXM-00-FOUNDATION-A-065-generated-by-relation,atom,00-foundation,Universal foundation and metadata,generated-by relation,"Smallest independently addressable generated-by relation unit in universal foundation and metadata, intended to be typed, referenced, transformed or validated without requiring a whole finished asset.",SRC-JSONSCHEMA;SRC-RDF;SRC-PROV;SRC-SPDX,cross-standard,candidate,research-seed,True,
AXM-00-FOUNDATION-A-066-supersedes-relation,atom,00-foundation,Universal foundation and metadata,supersedes relation,"Smallest independently addressable supersedes relation unit in universal foundation and metadata, intended to be typed, referenced, transformed or validated without requiring a whole finished asset.",SRC-JSONSCHEMA;SRC-RDF;SRC-PROV;SRC-SPDX,cross-standard,candidate,research-seed,True,
AXM-00-FOUNDATION-A-067-conflicts-with-relation,atom,00-foundation,Universal foundation and metadata,conflicts-with relation,"Smallest independently addressable conflicts-with relation unit in universal foundation and metadata, intended to be typed, referenced, transformed or validated without requiring a whole finished asset.",SRC-JSONSCHEMA;SRC-RDF;SRC-PROV;SRC-SPDX,cross-standard,candidate,research-seed,True,
AXM-00-FOUNDATION-A-068-equivalent-to-relation,atom,00-foundation,Universal foundation and metadata,equivalent-to relation,"Smallest independently addressable equivalent-to relation unit in universal foundation and metadata, intended to be typed, referenced, transformed or validated without requiring a whole finished asset.",SRC-JSONSCHEMA;SRC-RDF;SRC-PROV;SRC-SPDX,cross-standard,candidate,research-seed,True,
AXM-00-FOUNDATION-A-069-interoperates-with-relation,atom,00-foundation,Universal foundation and metadata,interoperates-with relation,"Smallest independently addressable interoperates-with relation unit in universal foundation and metadata, intended to be typed, referenced, transformed or validated without requiring a whole finished asset.",SRC-JSONSCHEMA;SRC-RDF;SRC-PROV;SRC-SPDX,cross-standard,candidate,research-seed,True,
AXM-00-FOUNDATION-A-070-licensed-under-relation,atom,00-foundation,Universal foundation and metadata,licensed-under relation,"Smallest independently addressable licensed-under relation unit in universal foundation and metadata, intended to be typed, referenced, transformed or validated without requiring a whole finished asset.",SRC-JSONSCHEMA;SRC-RDF;SRC-PROV;SRC-SPDX,cross-standard,candidate,research-seed,True,
AXM-00-FOUNDATION-A-071-observed-in-use-relation,atom,00-foundation,Universal foundation and metadata,observed-in-use relation,"Smallest independently addressable observed-in-use relation unit in universal foundation and metadata, intended to be typed, referenced, transformed or validated without requiring a whole finished asset.",SRC-JSONSCHEMA;SRC-RDF;SRC-PROV;SRC-SPDX,cross-standard,candidate,research-seed,True,
AXM-00-FOUNDATION-A-072-failed-in-use-relation,atom,00-foundation,Universal foundation and metadata,failed-in-use relation,"Smallest independently addressable failed-in-use relation unit in universal foundation and metadata, intended to be typed, referenced, transformed or validated without requiring a whole finished asset.",SRC-JSONSCHEMA;SRC-RDF;SRC-PROV;SRC-SPDX,cross-standard,candidate,research-seed,True,
AXM-00-FOUNDATION-C-001-typed-record,component,00-foundation,Universal foundation and metadata,typed record,"Reusable typed record assembly in universal foundation and metadata, with a bounded role and an interface that can be tested independently.",SRC-JSONSCHEMA;SRC-RDF;SRC-PROV;SRC-SPDX,cross-standard,candidate,research-seed,True,
AXM-00-FOUNDATION-C-002-schema,component,00-foundation,Universal foundation and metadata,schema,"Reusable schema assembly in universal foundation and metadata, with a bounded role and an interface that can be tested independently.",SRC-JSONSCHEMA;SRC-RDF;SRC-PROV;SRC-SPDX,cross-standard,candidate,research-seed,True,
AXM-00-FOUNDATION-C-003-manifest,component,00-foundation,Universal foundation and metadata,manifest,"Reusable manifest assembly in universal foundation and metadata, with a bounded role and an interface that can be tested independently.",SRC-JSONSCHEMA;SRC-RDF;SRC-PROV;SRC-SPDX,cross-standard,candidate,research-seed,True,
AXM-00-FOUNDATION-C-004-registry-entry,component,00-foundation,Universal foundation and metadata,registry entry,"Reusable registry entry assembly in universal foundation and metadata, with a bounded role and an interface that can be tested independently.",SRC-JSONSCHEMA;SRC-RDF;SRC-PROV;SRC-SPDX,cross-standard,candidate,research-seed,True,
AXM-00-FOUNDATION-C-005-property-set,component,00-foundation,Universal foundation and metadata,property set,"Reusable property set assembly in universal foundation and metadata, with a bounded role and an interface that can be tested independently.",SRC-JSONSCHEMA;SRC-RDF;SRC-PROV;SRC-SPDX,cross-standard,candidate,research-seed,True,
AXM-00-FOUNDATION-C-006-metadata-block,component,00-foundation,Universal foundation and metadata,metadata block,"Reusable metadata block assembly in universal foundation and metadata, with a bounded role and an interface that can be tested independently.",SRC-JSONSCHEMA;SRC-RDF;SRC-PROV;SRC-SPDX,cross-standard,candidate,research-seed,True,
AXM-00-FOUNDATION-C-007-namespace-map,component,00-foundation,Universal foundation and metadata,namespace map,"Reusable namespace map assembly in universal foundation and metadata, with a bounded role and an interface that can be tested independently.",SRC-JSONSCHEMA;SRC-RDF;SRC-PROV;SRC-SPDX,cross-standard,candidate,research-seed,True,
AXM-00-FOUNDATION-C-008-version-record,component,00-foundation,Universal foundation and metadata,version record,"Reusable version record assembly in universal foundation and metadata, with a bounded role and an interface that can be tested independently.",SRC-JSONSCHEMA;SRC-RDF;SRC-PROV;SRC-SPDX,cross-standard,candidate,research-seed,True,
AXM-00-FOUNDATION-C-009-identifier-map,component,00-foundation,Universal foundation and metadata,identifier map,"Reusable identifier map assembly in universal foundation and metadata, with a bounded role and an interface that can be tested independently.",SRC-JSONSCHEMA;SRC-RDF;SRC-PROV;SRC-SPDX,cross-standard,candidate,research-seed,True,
AXM-00-FOUNDATION-C-010-dependency-record,component,00-foundation,Universal foundation and metadata,dependency record,"Reusable dependency record assembly in universal foundation and metadata, with a bounded role and an interface that can be tested independently.",SRC-JSONSCHEMA;SRC-RDF;SRC-PROV;SRC-SPDX,cross-standard,candidate,research-seed,True,
AXM-00-FOUNDATION-C-011-capability-contract,component,00-foundation,Universal foundation and metadata,capability contract,"Reusable capability contract assembly in universal foundation and metadata, with a bounded role and an interface that can be tested independently.",SRC-JSONSCHEMA;SRC-RDF;SRC-PROV;SRC-SPDX,cross-standard,candidate,research-seed,True,
AXM-00-FOUNDATION-C-012-parameter-set,component,00-foundation,Universal foundation and metadata,parameter set,"Reusable parameter set assembly in universal foundation and metadata, with a bounded role and an interface that can be tested independently.",SRC-JSONSCHEMA;SRC-RDF;SRC-PROV;SRC-SPDX,cross-standard,candidate,research-seed,True,
AXM-00-FOUNDATION-C-013-constraint-set,component,00-foundation,Universal foundation and metadata,constraint set,"Reusable constraint set assembly in universal foundation and metadata, with a bounded role and an interface that can be tested independently.",SRC-JSONSCHEMA;SRC-RDF;SRC-PROV;SRC-SPDX,cross-standard,candidate,research-seed,True,
AXM-00-FOUNDATION-C-014-relationship-set,component,00-foundation,Universal foundation and metadata,relationship set,"Reusable relationship set assembly in universal foundation and metadata, with a bounded role and an interface that can be tested independently.",SRC-JSONSCHEMA;SRC-RDF;SRC-PROV;SRC-SPDX,cross-standard,candidate,research-seed,True,
AXM-00-FOUNDATION-C-015-content-descriptor,component,00-foundation,Universal foundation and metadata,content descriptor,"Reusable content descriptor assembly in universal foundation and metadata, with a bounded role and an interface that can be tested independently.",SRC-JSONSCHEMA;SRC-RDF;SRC-PROV;SRC-SPDX,cross-standard,candidate,research-seed,True,
